ticker,name,sector,sub_industry
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs
VICI,VICI Properties,Real Estate,Triple Net Lease REITs
MTD,Mettler-Toledo,Health Care,Life Sciences Tools & Services
GWW,Grainger,Industrials,Trading Companies & Distributors
HPQ,HP,Information Technology,Technology Hardware Storage & Peripherals
DELL,Dell Technologies,Information Technology,Technology Hardware Storage & Peripherals
ON,ON Semiconductor,Information Technology,Semiconductors
BIIB,Biogen,Health Care,Biotechnology
EXR,Extra Space Storage,Real Estate,Self-Storage REITs
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs
ENPH,Enphase Energy,Information Technology,Semiconductors
WAB,Westinghouse Air Brake Technologies,Industrials,Construction Machinery & Heavy Transportation Equipment
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
HBAN,Huntington Bancshares,Financials,Regional Banks
GLW,Corning,Information Technology,Electronic Components
CARR,Carrier Global,Industrials,Building Products
RCL,Royal Caribbean Cruises,Consumer Discretionary,Hotels Resorts & Cruise Lines
KEY,KeyCorp,Financials,Regional Banks
RF,Regions Financial,Financials,Regional Banks
DTE,DTE Energy,Utilities,Multi-Utilities
ZBH,Zimmer Biomet,Health Care,Health Care Equipment
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
LDOS,Leidos,Industrials,IT Consulting & Other Services
ANSS,Ansys,Information Technology,Application Software
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services
BAX,Baxter International,Health Care,Health Care Equipment
WY,Weyerhaeuser,Real Estate,Timber REITs
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks
STE,Steris,Health Care,Health Care Equipment
NTRS,Northern Trust,Financials,Asset Management & Custody Banks
WAT,Waters,Health Care,Life Sciences Tools & Services
PWR,Quanta Services,Industrials,Construction & Engineering
LULU,Lululemon Athletica,Consumer Discretionary,Apparel Accessories & Luxury Goods
DRI,Darden Restaurants,Consumer Discretionary,Restaurants
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs
TYL,Tyler Technologies,Information Technology,Application Software
HUBB,Hubbell,Industrials,Electrical Components & Equipment
PHM,PulteGroup,Consumer Discretionary,Homebuilding
LH,Labcorp Holdings,Health Care,Health Care Services
MOH,Molina Healthcare,Health Care,Managed Health Care
EXPD,Expeditors International,Industrials,Air Freight & Logistics
JBHT,J.B. Hunt Transport Services,Industrials,Cargo Ground Transportation
WST,West Pharmaceutical Services,Health Care,Health Care Equipment
CNP,CenterPoint Energy,Utilities,Multi-Utilities
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
DOC,Healthpeak Properties,Real Estate,Health Care REITs
DECK,Deckers Outdoor,Consumer Discretionary,Footwear
PPL,PPL,Utilities,Electric Utilities
AEE,Ameren,Utilities,Multi-Utilities
PNW,Pinnacle West Capital,Utilities,Electric Utilities
SBAC,SBA Communications,Real Estate,Telecom Tower REITs
STT,State Street,Financials,Asset Management & Custody Banks
HOLX,Hologic,Health Care,Health Care Equipment
HAL,Halliburton,Energy,Oil & Gas Equipment & Services
OMC,Omnicom Group,Communication Services,Advertising
FE,FirstEnergy,Utilities,Electric Utilities
ETR,Entergy,Utilities,Electric Utilities
ES,Eversource Energy,Utilities,Electric Utilities
CMS,CMS Energy,Utilities,Multi-Utilities
WTW,Willis Towers Watson,Financials,Insurance Brokers
NTAP,NetApp,Information Technology,Technology Hardware Storage & Peripherals
LYB,LyondellBasell Industries,Materials,Commodity Chemicals
DOV,Dover,Industrials,Industrial Machinery & Supplies & Components
ALGN,Align Technology,Health Care,Health Care Supplies
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment
SWKS,Skyworks Solutions,Information Technology,Semiconductors
JCI,Johnson Controls International,Industrials,Building Products
NDSN,Nordson,Industrials,Industrial Machinery & Supplies & Components
GPN,Global Payments,Financials,Transaction & Payment Processing Services
EXPE,Expedia Group,Consumer Discretionary,Hotels Resorts & Cruise Lines
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments
MKC,McCormick,Consumer Staples,Packaged Foods & Meats
EG,Everest Group,Financials,Reinsurance
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage
WDC,Western Digital,Information Technology,Technology Hardware Storage & Peripherals
LH,Labcorp Holdings,Health Care,Health Care Services
MAS,Masco,Industrials,Building Products
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
FAST,Fastenal,Industrials,Trading Companies & Distributors
TRMB,Trimble,Information Technology,Electronic Equipment & Instruments
PFG,Principal Financial Group,Financials,Asset Management & Custody Banks
LNT,Alliant Energy,Utilities,Electric Utilities
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Retail
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments
VTR,Ventas,Real Estate,Health Care REITs
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats
WRB,W. R. Berkley,Financials,Property & Casualty Insurance
HSIC,Henry Schein,Health Care,Health Care Distributors
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants
DGX,Quest Diagnostics,Health Care,Health Care Services
TXT,Textron,Industrials,Aerospace & Defense
SYY,Sysco,Consumer Staples,Food Distributors
JBL,Jabil,Information Technology,Electronic Manufacturing Services
MOS,Mosaic,Materials,Fertilizers & Agricultural Chemicals
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components
GEN,Gen Digital,Information Technology,Systems Software
KIM,Kimco Realty,Real Estate,Retail REITs
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials
INCY,Incyte,Health Care,Biotechnology
CPB,Campbell's,Consumer Staples,Packaged Foods & Meats
CBRE,CBRE Group,Real Estate,Real Estate Services
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
GPC,Genuine Parts Company,Consumer Discretionary,Distributors
J,Jacobs Solutions,Industrials,Construction & Engineering
CHRW,C.H. Robinson Worldwide,Industrials,Air Freight & Logistics
EVRG,Evergy,Utilities,Electric Utilities
BALL,Ball,Materials,Metal Glass & Plastic Containers
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs
WEC,WEC Energy Group,Utilities,Multi-Utilities
ATO,Atmos Energy,Utilities,Gas Utilities
CTRA,Coterra Energy,Energy,Oil & Gas Exploration & Production
LUV,Southwest Airlines,Industrials,Passenger Airlines
NWS,News Corp Class B,Communication Services,Publishing
NWSA,News Corp Class A,Communication Services,Publishing
PARA,Paramount Global,Communication Services,Movies & Entertainment
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
YUM,Yum! Brands,Consumer Discretionary,Restaurants
STX,Seagate Technology,Information Technology,Technology Hardware Storage & Peripherals
WST,West Pharmaceutical Services,Health Care,Health Care Equipment
DLTR,Dollar Tree,Consumer Discretionary,Consumer Staples Merchandise Retail
TAP,Molson Coors Beverage,Consumer Staples,Brewers
KKR,KKR & Co,Financials,Asset Management & Custody Banks
COIN,Coinbase Global,Financials,Financial Exchanges & Data
APO,Apollo Global Management,Financials,Asset Management & Custody Banks
ARES,Ares Management,Financials,Asset Management & Custody Banks
PLTR,Palantir Technologies,Information Technology,Application Software
CEG,Constellation Energy,Utilities,Independent Power Producers & Energy Traders
VST,Vistra,Utilities,Independent Power Producers & Energy Traders
GEV,GE Vernova,Industrials,Heavy Electrical Equipment
SMCI,Super Micro Computer,Information Technology,Technology Hardware Storage & Peripherals
ARM,Arm Holdings,Information Technology,Semiconductors
APP,AppLovin,Information Technology,Application Software
DASH,DoorDash,Consumer Discretionary,Hotels Resorts & Cruise Lines
ABNB,Airbnb,Consumer Discretionary,Hotels Resorts & Cruise Lines
UBER,Uber Technologies,Industrials,Passenger Ground Transportation
LYFT,Lyft,Industrials,Passenger Ground Transportation
SHOP,Shopify,Information Technology,Application Software
SQ,Block,Financials,Transaction & Payment Processing Services
SNOW,Snowflake,Information Technology,Application Software
DDOG,Datadog,Information Technology,Application Software
NET,Cloudflare,Information Technology,Internet Services & Infrastructure
CRWD,CrowdStrike Holdings,Information Technology,Systems Software
ZM,Zoom Video Communications,Information Technology,Application Software
MRNA,Moderna,Health Care,Biotechnology
TTD,The Trade Desk,Information Technology,Application Software
PINS,Pinterest,Communication Services,Interactive Media & Services
RBLX,Roblox,Communication Services,Interactive Media & Services
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage
TWLO,Twilio,Information Technology,Application Software
ROKU,Roku,Communication Services,Movies & Entertainment
BIDU,Baidu,Communication Services,Interactive Media & Services
JD,JD.com,Consumer Discretionary,Broadline Retail
PDD,PDD Holdings,Consumer Discretionary,Broadline Retail
NIO,NIO,Consumer Discretionary,Automobile Manufacturers
LI,Li Auto,Consumer Discretionary,Automobile Manufacturers
XPEV,XPeng,Consumer Discretionary,Automobile Manufacturers
RIVN,Rivian Automotive,Consumer Discretionary,Automobile Manufacturers
LCID,Lucid Group,Consumer Discretionary,Automobile Manufacturers
PLUG,Plug Power,Industrials,Electrical Components & Equipment
BLDR,Builders FirstSource,Industrials,Trading Companies & Distributors
ENB,Enbridge,Energy,Oil & Gas Storage & Transportation
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation
PSTG,Pure Storage,Information Technology,Technology Hardware Storage & Peripherals
GH,Guardant Health,Health Care,Life Sciences Tools & Services
PEN,Penumbra,Health Care,Health Care Equipment
SBUX,Starbucks,Consumer Discretionary,Restaurants
